,Count_win,percent_win,odds_win,Count_5,percent_5,odds_5,Count_10,percent_10,odds_10,Count_20,percent_20,odds_20,Count_cut,percent_cut,odds_cut
Nick Taylor,82,0.0082,120.95121951219511,685,0.0685,13.5985401459854,1508,0.1508,5.631299734748011,3048,0.3048,2.280839895013123,7158,0.7158,0.39703827884884046
Patrick Cantlay,295,0.0295,32.898305084745765,1316,0.1316,6.598784194528876,2362,0.2362,3.2337002540220157,4022,0.4022,1.4863252113376428,7494,0.7494,0.3344008540165466
Patrick Reed,189,0.0189,51.91005291005291,1146,0.1146,7.726003490401396,2178,0.2178,3.5913682277318646,3937,0.3937,1.5400050800101601,7501,0.7501,0.3331555792560992
Paul Casey,106,0.0106,93.33962264150944,766,0.0766,12.054830287206267,1562,0.1562,5.402048655569782,3112,0.3112,2.213367609254499,7063,0.7063,0.41582896786068235
Phil Mickelson,129,0.0129,76.51937984496124,678,0.0678,13.749262536873157,1255,0.1255,6.968127490039841,2230,0.223,3.4843049327354256,5818,0.5818,0.7188037126160194
Rafa Cabrera Bello,57,0.0057,174.43859649122805,385,0.0385,24.974025974025974,830,0.083,11.048192771084336,1874,0.1874,4.336179295624333,5916,0.5916,0.6903313049357673
Rickie Fowler,244,0.0244,39.983606557377044,1131,0.1131,7.841732979664014,1942,0.1942,4.1493305870236865,3428,0.3428,1.9171528588098017,7046,0.7046,0.41924496168038594
Rory McIlroy,339,0.0339,28.498525073746315,1560,0.156,5.410256410256411,2649,0.2649,2.7750094375235936,4426,0.4426,1.2593764121102575,7718,0.7718,0.29567245400362774
Scottie Scheffler,243,0.0243,40.1522633744856,1254,0.1254,6.974481658692184,2184,0.2184,3.5787545787545785,3834,0.3834,1.608242044861763,7419,0.7419,0.34789055128723545
Sebastian Munoz,174,0.0174,56.4712643678161,904,0.0904,10.061946902654867,1685,0.1685,4.9347181008902075,3029,0.3029,2.301419610432486,6752,0.6752,0.48104265402843605
Shane Lowry,77,0.0077,128.87012987012986,450,0.045,21.22222222222222,949,0.0949,9.537407797681771,2050,0.205,3.8780487804878048,6180,0.618,0.6181229773462784
Shugo Imahira,145,0.0145,67.9655172413793,521,0.0521,18.193857965451055,942,0.0942,9.615711252653927,1663,0.1663,5.013229104028864,4856,0.4856,1.0593080724876445
Si Woo Kim,170,0.017,57.8235294117647,793,0.0793,11.610340479192939,1488,0.1488,5.720430107526882,2745,0.2745,2.6429872495446265,6525,0.6525,0.5325670498084292
Sung Kang,100,0.01,99.0,473,0.0473,20.14164904862579,880,0.088,10.363636363636365,1816,0.1816,4.506607929515418,5566,0.5566,0.7966223499820337
Sungjae Im,179,0.0179,54.865921787709496,1061,0.1061,8.42507068803016,2054,0.2054,3.8685491723466408,3890,0.389,1.570694087403599,7642,0.7642,0.308557969118032
Tiger Woods,110,0.011,89.90909090909092,678,0.0678,13.749262536873157,1358,0.1358,6.363770250368188,2737,0.2737,2.6536353671903545,6609,0.6609,0.5130882130428203
Tommy Fleetwood,50,0.005,199.0,535,0.0535,17.69158878504673,1240,0.124,7.064516129032258,2777,0.2777,2.6010082823190492,7064,0.7064,0.41562853907134767
Tony Finau,162,0.0162,60.7283950617284,1059,0.1059,8.442870632672333,1986,0.1986,4.0352467270896275,3762,0.3762,1.658160552897395,7578,0.7578,0.3196093956188968
Tyler Duncan,101,0.0101,98.00990099009901,620,0.062,15.129032258064516,1146,0.1146,7.726003490401396,2328,0.2328,3.29553264604811,6236,0.6236,0.6035920461834507
Tyrrell Hatton,89,0.0089,111.35955056179776,610,0.061,15.393442622950818,1184,0.1184,7.445945945945946,2519,0.2519,2.969829297340214,6486,0.6486,0.5417823003391922
Victor Perez,154,0.0154,63.93506493506493,699,0.0699,13.306151645207438,1216,0.1216,7.223684210526315,2073,0.2073,3.82392667631452,5446,0.5446,0.8362100624311422
Vijay Singh,38,0.0038,262.1578947368421,223,0.0223,43.84304932735426,513,0.0513,18.49317738791423,1151,0.1151,7.688097306689835,4739,0.4739,1.110149820637265
Webb Simpson,325,0.0325,29.769230769230766,1615,0.1615,5.191950464396284,2770,0.277,2.6101083032490973,4744,0.4744,1.1079258010118043,8132,0.8132,0.2297097884899164
Xander Schauffele,225,0.0225,43.44444444444444,1325,0.1325,6.547169811320754,2407,0.2407,3.1545492314083923,4308,0.4308,1.321262766945218,7790,0.779,0.2836970474967908
Zach Johnson,63,0.0063,157.73015873015873,492,0.0492,19.32520325203252,1047,0.1047,8.551098376313275,2255,0.2255,3.434589800443459,6412,0.6412,0.5595757953836558
